City,Latitude,Longitude,Region,Country,Nwind_speed,AirQuality,WaterPollution,RealWater,wind_speed,wind_direction
Dhaka,23.810332,90.4125181,Dhaka Division,Bangladesh,20.6,14.96815287,78.25342466,21.74657534,2.06,90
Aswan,24.088938,32.8998293,Aswan Governorate,Egypt,25.7,75,25,75,2.57,250
Liuzhou,24.3255257,109.4154583,Guangxi,People's Republic of China,16.4,0,50,50,1.64,350
Abu Dhabi,24.453884,54.3773438,Emirate of Abu Dhabi,United Arab Emirates,25.7,55.98290598,37.99019608,62.00980392,2.57,60
Medina,24.5246542,39.5691841,Medina Province,Saudi Arabia,97.7,20,66.66666667,33.33333333,9.77,290
Riyadh,24.7135517,46.6752957,Riyadh Province,Saudi Arabia,15.9,33.69565217,44.57364341,55.42635659,1.59,180
Karachi,24.8607343,67.0011364,Sindh,Pakistan,56.6,21.96969697,83.11170213,16.88829787,5.66,250
Taipei,25.0329636,121.5654268,,Taiwan,15.4,52.47933884,44.87179487,55.12820513,1.54,280
Nassau,25.0443312,-77.3503609,,The Bahamas,30.9,50,59.25925926,40.74074074,3.09,220
Fujairah,25.1288099,56.3264849,Emirate of Fujairah,United Arab Emirates,20.6,25,62.5,37.5,2.06,200
Dubai,25.2048493,55.2707828,Emirate of Dubai,United Arab Emirates,20.6,48.87387387,39.84615385,60.15384615,2.06,50
Doha,25.2854473,51.5310398,Ad Dawhah,Qatar,15.4,37.87313433,46.16935484,53.83064516,1.54,40
Munger,25.3707993,86.4733903,Bihar,India,40.8,100,62.5,37.5,4.08,119
Miami,25.7616798,-80.1917902,Florida,United States of America,66.9,70.2020202,47.36842105,52.63157895,6.69,190
Unaizah,26.090731,43.9875457,Al-Qassim Province,Saudi Arabia,41,50,50,50,4.1,106
Naples,26.1420358,-81.7948103,Campania,Italy,51.4,28.84615385,55.31914894,44.68085106,5.14,230
Manama,26.2235305,50.5875935,Capital Governorate,Bahrain,20.6,40.27777778,46.77419355,53.22580645,2.06,130
Boca Raton,26.3683064,-80.1289321,Florida,United States of America,51.4,94.23076923,34.61538462,65.38461538,5.14,170
Biratnagar,26.4524746,87.271781,Province No. 1,Nepal,47.9,40,50,50,4.79,81
Siliguri,26.7271012,88.3952861,West Bengal,India,23.5,40,67,33,2.35,31
Dharan,26.806496,87.2846262,Province No. 1,Nepal,18.2,75,50,50,1.82,75
Asyut,27.1783117,31.1859257,Asyut Governorate,Egypt,36.7,50,25,75,3.67,337
