City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution
Da Lat,11.9404192,108.4583132,Lâm Đồng,Vietnam,Da Lat Lâm Đồng Vietnam ,62.5,54.1666666667
Managua,12.1149926,-86.2361744,Managua Department,Nicaragua,Managua Managua Department Nicaragua ,58.3333333333,76.6666666667
N'Djamena,12.1348457,15.0557415,,Chad,N'Djamena  Chad ,41.6666666667,41.6666666667
Nha Trang,12.2529152,109.1899018,Khanh Hoa,Vietnam,Nha Trang Khanh Hoa Vietnam ,51.9230769231,57.6923076923
Mysore,12.2958104,76.6393805,Karnataka,India,Mysore Karnataka India ,51.5625,62.5
Bamako,12.6392316,-8.0028892,,Mali,Bamako  Mali ,15,62.5
Chennai,13.0826802,80.2707184,Tamil Nadu,India,Chennai Tamil Nadu India ,35.8843537415,73.0701754386
Bridgetown,13.1059816,-59.6131741,Saint Michael,Barbados,Bridgetown Saint Michael Barbados ,90,15
Siem Reap,13.3632533,103.856403,Siem Reap Province,Cambodia,Siem Reap Siem Reap Province Cambodia ,60,95
Banjul,13.454375,-16.5753186,,The Gambia,Banjul  The Gambia ,75,62.5
Niamey,13.5115963,2.1253854,,Niger,Niamey  Niger ,25,100
San Salvador,13.6929403,-89.2181911,San Salvador Department,El Salvador,San Salvador San Salvador Department El Salvador ,18.4210526316,76.5625
Bangkok,13.7563309,100.5017651,,Thailand,Bangkok  Thailand ,26.8518518519,70.8333333333
Salvador,13.794185,-88.89653,Bahia,Brazil,Salvador Bahia Brazil ,83,51.3157894737
Lipa,13.941876,121.1644198,,Philippines,Lipa  Philippines ,87.5,25
Castries,14.0101094,-60.9874687,Castries Quarter,Saint Lucia,Castries Castries Quarter Saint Lucia ,70.8333333333,33.3333333333
Tegucigalpa,14.065049,-87.1715002,Francisco Morazan Department,Honduras,Tegucigalpa Francisco Morazan Department Honduras ,22.619047619,88.4615384615
Cabuyao,14.2471423,121.1366715,,Philippines,Cabuyao  Philippines ,25,100
Muntinlupa,14.4081327,121.0414667,Metro Manila,Philippines,Muntinlupa Metro Manila Philippines ,40.625,83.3333333333
Las Pinas,14.444546,120.9938736,Metro Manila,Philippines,Las Pinas Metro Manila Philippines ,33.3333333333,75
Pasay,14.5377516,121.0013794,Metro Manila,Philippines,Pasay Metro Manila Philippines ,25,100
Makati,14.554729,121.0244452,Metro Manila,Philippines,Makati Metro Manila Philippines ,34.2105263158,70.9459459459
Pasig,14.5763768,121.0851097,Metro Manila,Philippines,Pasig Metro Manila Philippines ,27.9411764706,82.6923076923
Mandaluyong,14.5794443,121.0359174,Metro Manila,Philippines,Mandaluyong Metro Manila Philippines ,12.5,82.5
